"Code";"Item";"Value"
"20181126-142601";"Tokens";14
"20181126-142601";"Scraps";31
"20181126-152758";"Tokens";13
"20181126-152758";"Scraps";20
"20181126-163941";"Tokens";10
"20181126-163941";"Scraps";54
"20181126-174207";"Tokens";8
"20181126-174207";"Scraps";28
"20181126-221146";"Tokens";7
"20181126-221146";"Scraps";58
"20181126-231753";"Tokens";7
"20181126-231753";"Scraps";38
"20181127-002018";"Tokens";7
"20181127-002018";"Scraps";59
"20181127-090641";"Tokens";5
"20181127-090641";"Scraps";47
"20181127-102401";"Tokens";12
"20181127-102401";"Scraps";54
"20181127-112642";"Tokens";5
"20181127-112642";"Scraps";30
"20181127-122710";"Tokens";5
"20181127-122710";"Scraps";59
"20181127-135850";"Tokens";8
"20181127-135850";"Scraps";40
"20181127-150258";"Tokens";12
"20181127-150258";"Scraps";25
"20181127-160536";"Tokens";12
"20181127-160536";"Scraps";52
"20181127-170910";"Tokens";9
"20181127-170910";"Scraps";37
"20181127-181314";"Tokens";6
"20181127-181314";"Scraps";47
"20181127-193136";"Tokens";9
"20181127-193136";"Scraps";56
"20181127-204547";"Tokens";7
"20181127-204547";"Scraps";42
"20181127-215409";"Tokens";13
"20181127-215409";"Scraps";27
"20181127-225708";"Tokens";14
"20181127-225708";"Scraps";39
"20181128-000047";"Tokens";7
"20181128-000047";"Scraps";43
"20181128-011117";"Tokens";6
"20181128-011117";"Scraps";25
"20181128-091107";"Tokens";14
"20181128-091107";"Scraps";44
"20181128-101558";"Tokens";9
"20181128-101558";"Scraps";29
"20181128-112022";"Tokens";12
"20181128-112022";"Scraps";55
"20181128-122455";"Tokens";9
"20181128-122455";"Scraps";54
"20181128-135625";"Tokens";10
"20181128-135625";"Scraps";28
"20181128-150151";"Tokens";8
"20181128-150151";"Scraps";26
"20181128-160644";"Tokens";13
"20181128-160644";"Scraps";44
"20181128-173653";"Tokens";11
"20181128-173653";"Scraps";27
"20181129-001134";"Tokens";8
"20181129-001134";"Scraps";44
"20181129-090658";"Tokens";12
"20181129-090658";"Scraps";50
"20181129-101945";"Tokens";12
"20181129-101945";"Scraps";50
"20181129-112046";"Tokens";9
"20181129-112046";"Scraps";38
"20181129-122140";"Tokens";13
"20181129-122140";"Scraps";28
"20181129-134746";"Tokens";7
"20181129-134746";"Scraps";24
"20181129-144911";"Tokens";5
"20181129-144911";"Scraps";34
"20181129-155236";"Tokens";10
"20181129-155236";"Scraps";37
"20181129-191853";"Tokens";13
"20181129-191853";"Scraps";28
"20181130-002931";"Tokens";13
"20181130-002931";"Scraps";20
"20181130-084400";"Tokens";7
"20181130-084400";"Scraps";46
"20181130-110400";"Tokens";6
"20181130-110400";"Scraps";55
"20181130-122002";"Tokens";13
"20181130-122002";"Scraps";27
"20181130-132157";"Tokens";6
"20181130-132157";"Scraps";33
"20181130-160509";"Tokens";7
